"","X","X.3","X.2","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","mu","growth"
"65",65,65,67,67,"RE","6/4/13","11:30","Day","PML",0,0,1.09,0.000963143315524183,0.000875684953434777,0.00842238532110092,0.00132191221778683,0.5,6.12,21.2,69.985,0,0,230200,0,0,0,0,3779.19,0.418306951953,0,0.108902338031467
"66",66,66,68,68,"RE","6/4/13","11:30","Day","Hypo",0,0,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.05,4,0,0,0,230200,230200,3600,106466.666666667,800,0,0,0,0
"67",67,67,69,69,"RE","6/14/13","11:30","Day","PML",0,0,1.09,0.000842051422406147,0,0.00842238532110092,0.00239014495026903,0.25,4.85,0,368.4,0,0,161800,64200,466.666666666667,31733.3333333333,0,19893.6,0.42022441421568,0,0.0297302973010412
"68",68,68,70,70,"RE","6/14/13","11:30","Day","Hypo",1,66.6666666666667,1.39083333333333,0,0,0.00997238466147394,0.00150618427607992,9,0.12,4,0,0,0,161800,97600,4800,43066.6666666667,133.333333333333,0,0,0,0
"69",69,69,71,71,"RS","7/18/13","12:15","Day","PML",24,1600,0.940714285714286,0.00073818247740351,0,0.0102064534883721,0.00866169110988323,0.25,5.38142857142857,0,415.8,5.72375779832262,0.163642235454044,219133.333333333,128333.333333333,27866.6666666667,75933.3333333333,15066.6666666667,22453.2,0.420339853490387,0.000836907576830234,0.0301687064762749
"70",70,70,72,72,"RS","7/18/13","12:15","Day","Hypo",102,6800,1.22166666666667,0,0,0.00927973583509514,0.00320854458838884,3.5,0.19,8.5,0,5.72375779832262,0.163642235454044,219133.333333333,90800,22400,49400,13333.3333333333,0,0,0,0
"71",71,71,73,73,"RS","7/18/13","23:55","Night","PML",194,12933.3333333333,0.940714285714286,0.00073818247740351,0,0.0102064534883721,0.00866169110988323,0.25,5.38142857142857,0,0,5.72375779832262,0.163642235454044,273866.666666667,134066.666666667,44733.3333333333,30600,54733.3333333333,0,0,0,0.0301687064762749
"72",72,72,74,74,"RS","7/18/13","23:55","Night","Hypo",48,3200,1.22166666666667,0,0,0.00927973583509514,0.00320854458838884,3.5,0.19,8.5,0,5.72375779832262,0.163642235454044,273866.666666667,139800,42200,53600,37400,0,0,0,0
"73",73,73,75,75,"BA","7/22/13","11:30","Day","PML",0,0,0.7085,0,0,0.00446922724064926,0.00491967686481508,1,7.71,24.2,50.77,4.90691596474801,0.140288727432146,186466.666666667,37800,1533.33333333333,5866.66666666667,20800,2741.58,0.417846243985495,0.000833189863651276,-0.0110954835525635
"74",74,74,76,76,"BA","7/22/13","11:30","Day","Hypo",20,1333.33333333333,0.8235,0,0,0.00480365209471767,0.00715462059410352,5,0.82,7.6,0.75,4.90691596474801,0.140288727432146,186466.666666667,148666.666666667,29933.3333333333,97400,13533.3333333333,40.5,0.404816320538246,0.000782036455807091,0.00266627805560056
"75",75,75,77,77,"BA","7/27/13","11:30","Day","PML",0,0,0.7085,0,0,0.00446922724064926,0.00491967686481508,1,7.71,24.2,50.77,4.90691596474801,0.140288727432146,186466.666666667,37800,1533.33333333333,5866.66666666667,20800,2741.58,0.417846243985495,0.000833189863651276,-0.0110954835525635
"76",76,76,78,78,"BA","7/27/13","11:30","Day","Hypo",0,0,0.8235,0,0,0.00480365209471767,0.00715462059410352,5,0.82,7.6,0.75,4.90691596474801,0.140288727432146,186466.666666667,148666.666666667,29933.3333333333,97400,13533.3333333333,40.5,0.404816320538246,0.000782036455807091,0.00266627805560056
"77",77,77,79,79,"BA","7/22/13","23:30","Night","PML",39,2600,0.7085,0,0,0.00446922724064926,0.00491967686481508,1,7.71,24.2,0,4.90691596474801,0.140288727432146,236800,161066.666666667,64266.6666666667,81733.3333333333,12333.3333333333,0,0,0,-0.0110954835525635
"78",78,78,80,80,"BA","7/22/13","23:30","Night","Hypo",11,733.333333333333,0.8235,0,0,0.00480365209471767,0.00715462059410352,5,0.82,7.6,0,4.90691596474801,0.140288727432146,236800,75733.3333333333,17733.3333333333,51866.6666666667,3600,0,0,0,0.00266627805560056
