Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Tissue,Comments,MetaID
69,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__069,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,069,BHD,black_bullhead
70,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__070,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,070,BHD,black_bullhead
71,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__071,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,071,BHD,black_bullhead
72,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__072,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,072,BHD,black_bullhead
73,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__073,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,073,BHD,black_bullhead
74,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__074,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,074,BHD,black_bullhead
75,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__075,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,075,BHD,black_bullhead
76,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__076,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,076,BHD,black_bullhead
77,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__077,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,077,BHD,black_bullhead
78,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__078,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,078,BHD,black_bullhead,,
79,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__079,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,079,BHD,black_bullhead,,
80,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__080,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,080,BHD,black_bullhead,,
81,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__081,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,081,BHD,black_bullhead,,
82,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__082,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,082,BHD,black_bullhead,,
83,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__083,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,083,BHD,black_bullhead,,
84,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__084,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,084,BHD,black_bullhead,,
